Generation,Alive,AvgHealth,AvgHunger,Apples,AvgMaxQ,LeaderGenes
176895593.0942,7,16.023809523812822,-125.96428571427847,12,3.9196303064248945,34.935480510263545
176895593.0976,1,3.1163821523350066e-12,-149.99999999999403,12,4.798807838389117,0
176895595.3025,6,100,50.00000000000284,18,0,39.50854584352056
176895595.3059,6,100,3.544345372752389e-12,18,0,39.50854584352056
176895595.3094,6,66.66666666666856,-49.999999999995744,18,0,39.50854584352056
176895595.3129,6,33.33333333333712,-99.99999999999291,18,0,39.50854584352056
176895595.3164,6,3.1163821523350066e-12,-149.99999999999633,18,0,39.50854584352056
176895597.5212,6,100,54.10833333333594,20,2.495016666666667,66.084592760377
176895597.5247,6,100,4.108333333336891,20,2.495016666666667,66.084592760377
176895597.5282,6,69.40555555555729,-45.891666666662644,20,2.495016666666667,66.084592760377
176895597.5316,6,36.072222222225854,-95.89166666665982,20,2.495016666666667,66.084592760377
176895597.5351,6,2.738888888891998,-145.89166666666208,20,2.495016666666667,66.084592760377
176895599.7393,6,100,67.2583333333352,20,2.447921856493267,48.06173420531305
176895599.7427,6,100,17.258333333336978,20,2.447921856493267,48.06173420531305
176895599.7462,6,80.08888888889003,-19.683333333329948,18,3.1918290649936574,48.06173420531305
176895599.7497,6,52.311111111113824,-69.6833333333275,18,3.1918290649936574,48.06173420531305
176895599.7532,6,20.211111111113972,-119.68333333332737,18,3.1918290649936574,48.06173420531305
176895599.7566,1,40.7333333333367,-88.89999999999354,18,9.389674114414245,48.06173420531305
176895599.7601,1,7.4000000000031,-138.89999999999378,18,9.389674114414245,48.06173420531305
176895601.9644,6,100,67.25833333333519,20,3.323427574069131,33.37263702223112
176895601.9678,6,100,27.425000000003134,18,4.035387951246857,33.37263702223112
176895601.9713,6,80.65555555555666,-22.574999999996436,18,4.035387951246857,33.37263702223112
176895601.9747,6,51.61666666666941,-72.57499999999423,18,4.035387951246857,33.37263702223112
176895601.9782,6,18.28333333333634,-122.57499999999368,18,4.035387951246857,33.37263702223112
176895601.9816,1,25.766666666670222,-111.34999999999226,18,9.124240955103126,0
176895604.186,6,100,83.15833333333428,21,2.4714773088483306,50.62814884212514
176895604.19,6,100,38.45833333333678,19,3.3038522211164953,50.62814884212514
176895604.1935,6,92.00000000000045,-11.541666666663204,19,3.3038522211164953,50.62814884212514
176895604.197,6,60.72777777778001,-54.87499999999525,18,3.9646241718259745,50.62814884212514
176895604.2004,6,27.394444444447814,-104.87499999999268,18,3.9646241718259745,50.62814884212514
176895604.2038,2,6.183333333336434,-128.62499999999443,18,6.9463868521284375,0
176895606.4084,6,100,76.48333333333467,22,6.380066233687245,35.28309959315314
176895606.4115,6,100,26.48333333333673,22,6.380066233687245,35.28309959315314
176895606.415,6,84.32222222222312,-23.51666666666306,22,6.380066233687245,35.28309959315314
176895606.4185,6,50.98888888889167,-73.51666666666108,22,6.380066233687245,35.28309959315314
176895606.4219,6,17.655555555558955,-123.51666666665994,22,6.380066233687245,35.28309959315314
176895608.6271,7,100,90.00714285714342,27,0.5160797776246973,57.39146789080129
176895608.6331,7,100,58.8571428571452,20,5.13327013215721,57.39146789080129
176895608.6372,7,99.04761904761911,24.264285714289247,17,5.148896597891971,57.39146789080129
176895608.6408,7,79.03809523809642,-25.73571428570987,17,5.148896597891971,57.39146789080129
176895608.6449,7,52.23809523809786,-56.25714285713702,12,5.590591099813798,57.39146789080129
176895608.6497,6,28.72222222222482,-97.29999999999431,12,6.522356283116097,57.39146789080129
176895608.6538,2,54.0333333333354,-61.84999999999252,12,8.627040586712516,57.39146789080129
176895608.6572,1,53.00000000000267,-56.29999999999539,12,12.19097558783786,0
176895608.6607,1,19.66666666666992,-106.29999999999255,12,12.19097558783786,0
176895610.865,7,100,70.0000000000017,16,0,39.66696068078472
176895610.8684,7,100,25.05000000000353,15,0.6808830198629099,39.66696068078472
176895610.8719,7,82.85714285714383,-24.94999999999671,15,0.6808830198629099,39.66696068078472
176895610.8754,7,50.03333333333618,-74.94999999999433,15,0.6808830198629099,39.66696068078472
176895610.8788,7,16.70000000000315,-124.94999999999199,15,0.6808830198629099,39.66696068078472
176895610.8822,1,3.5666666666697804,-144.6499999999951,15,4.766181139040369,0
176895613.0872,6,100,60.908333333335555,13,3.85150791469824,37.28008842287893
176895613.0907,6,100,12.383333333336703,9,4.932926045269348,37.28008842287893
176895613.0941,6,74.21666666666813,-37.6166666666627,9,4.932926045269348,37.28008842287893
176895613.0976,6,41.58888888889221,-87.61666666666027,9,4.932926045269348,37.28008842287893
176895613.101,6,8.255555555558741,-137.61666666666179,9,4.932926045269348,37.28008842287893
